Opcode	Value	Addressing	Example	Cycles	Comment
BBS2	$AF	Zeropage Relative	BBS2 $12,$1234	2*	
BCS	$B0	Relative	BCS $1234	2*	
LDA	$B1	(Indirect),Y	LDA ($12),Y	5*	
LDQ	$B1	(Indirect),Y	LDQ ($12),Y	5*	
LDA	$B2	(Indirect),Z	LDA ($12),Z	5	
LDA	$B2	(Indirect),Z	LDA [$12],Z	5	long mode
LDQ	$B2	Zeropage Indirect	LDQ ($12)	5	
LDQ	$B2	Zeropage Indirect	LDQ [$12]	5	long mode
LBCS	$B3	Relative 16bit	LBCS $1234	3*	
LDY	$B4	Zeropage,X	LDY $12,X	4	
LDA	$B5	Zeropage,X	LDA $12,X	4	
LDQ	$B5	Zeropage,X	LDQ $12,X	4	
LDX	$B6	Zeropage,Y	LDX $12,Y	4	
SMB3	$B7	Zeropage	SMB3 $12	5	
CLV	$B8	Implied	CLV	2	
LDA	$B9	Absolute,Y	LDA $1234,Y	4*	
LDQ	$B9	Absolute,Y	LDQ $1234,Y	4*	
TSX	$BA	Implied	TSX	2	
LDZ	$BB	Absolute,X	LDZ $1234,X	4*	
LDY	$BC	Absolute,X	LDY $1234,X	4*	
LDA	$BD	Absolute,X	LDA $1234,X	4*	
LDQ	$BD	Absolute,X	LDQ $1234,X	4*	
LDX	$BE	Absolute,Y	LDX $1234,Y	4*	
BBS3	$BF	Zeropage Relative	BBS3 $12,$1234	2*	
CPY	$C0	Immediate	CPY #$12	2	
CMP	$C1	(Indirect,X)	CMP ($12,X)	6	
CPZ	$C2	Immediate	CPZ #$12	2	
DEW	$C3	Zeropage	DEW $12	6	
CPY	$C4	Zeropage	CPY $12	3	
CMP	$C5	Zeropage	CMP $12	3	
CPQ	$C5	Absolute	CPQ $1234	3	
DEC	$C6	Zeropage	DEC $12	5	
DEQ	$C6	Zeropage	DEQ $12	5	
SMB4	$C7	Zeropage	SMB4 $12	5	
INY	$C8	Implied	INY	2	
CMP	$C9	Immediate	CMP #$12	2	
DEX	$CA	Implied	DEX	2	
ASW	$CB	Absolute	ASW	7	
CPY	$CC	Absolute	CPY $1234	4	
CMP	$CD	Absolute	CMP $1234	4	
CPQ	$CD	Absolute	CPQ $1234	4	
DEC	$CE	Absolute	DEC $1234	6	
DEQ	$CE	Absolute	DEQ $1234	6	
BBS4	$CF	Zeropage Relative	BBS4 $12,$1234	2*	
BNE	$D0	Relative	BNE $1234	2*	
CMP	$D1	(Indirect),Y	CMP ($12),Y	5*	
CMP	$D2	(Indirect),Z	CMP [$12],Z	5	long mode
CMP	$D2	(Indirect),Z	CMP ($12),Z	5	
CPQ	$D2	Zeropage Indirect	CPQ ($12)	5	
CPQ	$D2	Zeropage Indirect	CPQ [$12]	5	long mode
LBNE	$D3	Relative 16bit	LBNE $1234	3*	
CPZ	$D4	Zeropage	CPZ $12	3	
CMP	$D5	Zeropage,X	CMP $12,X	4	
DEC	$D6	Zeropage,X	DEC $12,X	6	
DEQ	$D6	Zeropage,X	DEQ $12,X	6	
SMB5	$D7	Zeropage	SMB5 $12	5	
CLD	$D8	Implied	CLD	2	
CMP	$D9	Absolute,Y	CMP $1234,Y	4*	
PHX	$DA	Implied	PHX	3	
PHZ	$DB	Implied	PHZ	3	
CPZ	$DC	Absolute	CPZ $1234	4	
CMP	$DD	Absolute,X	CMP $1234,X	4*	
DEC	$DE	Absolute,X	DEC $1234,X	7	
DEQ	$DE	Absolute,X	DEQ $1234,X	7	
BBS5	$DF	Zeropage Relative	BBS5 $12,$1234	2*	
CPX	$E0	Immediate	CPX #$12	2	
SBC	$E1	(Indirect,X)	SBC ($12,X)	6	
LDA	$E2	(Indirect,Stack),Y	LDA ($12,S),Y	7	
LDQ	$E2	(Indirect,Stack),Y	LDQ ($12,S),Y	7	
INW	$E3	Zeropage	INW $12	7	
